code,food_group,reference,food_item_name,moisture_g,energy_kcal,energy_kj,nitrogen_g,protein_g,fat_g,safa_g,mufa_g,pufa_g,cholesterol_mg,carbohydrate_total_g,carbohydrate_available_g,total_sugar_g,added_sugar_g,fiber_g,starch_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mcg,iodine_mcg,selenium_mcg,vitamin_a_rae_mcg,vitamin_a_re_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_b6_mg,folate_mcg,vitamin_b12_mcg,pantothenate_mg,biotin_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,phytate_mg,data_quality_flags
MW07_0034,Baby foods,ZA,"Baby food (jar), 8 months, pears with yoghurt",91.3,34,143,0.06,0.4,0.0,0.00,,,,8.0,7.7,4.70,,0.3,,0.4,26,0.4,12,26,97,0,0.17,0.04,,,,1,1,0.00,0.05,0.4,0.019,0,0.4,,,11,0.00,0.00,,
MW07_0035,Baby foods,ZA,"Baby food (jar), 8 months, vegetables & chicken",88.5,55,233,0.86,5.4,0.6,0.20,,,,7.0,5.8,1.40,,1.2,,0.4,24,0.5,12,41,139,42,0.42,0.06,,,,182,363,0.03,0.05,0.6,0.063,0,0.1,0.09,,0,0.09,0.28,,
MW07_0036,Baby foods,ZA,"BMS, acidified follow-up formula, Nan Pelargon 2, reconstituted/100mL",90.5,68,285,0.32,2.0,3.1,,,,,8.0,8.0,,,0.0,,0.3,82,1.0,7,54,94,31,0.80,0.05,7,,,,68,0.10,0.20,0.6,0.100,17,0.2,0.80,2.0,8,1.00,1.34,,
MW07_0037,Baby foods,ZA,"BMS, acidified formula, Nan Pelargon 1 powder",3.5,512,2142,1.82,11.4,26.0,,,,,58.0,58.0,,,0.0,,2.0,480,5.4,50,270,670,210,5.10,0.40,90,,,,560,0.60,1.20,4.5,0.400,70,1.3,4.30,16.0,60,8.00,8.04,,
MW07_0038,Baby foods,ZA,"BMS, acidified formula, Nan Pelargon 1, reconstituted/100mL",90.5,69,287,0.24,1.5,3.4,,,,,8.0,8.0,,,0.0,,0.3,63,0.7,7,35,88,28,0.70,0.10,12,,,,73,0.10,0.20,0.6,0.100,9,0.2,0.60,2.0,8,1.00,1.34,,
MW07_0039,Baby foods,ZA,"BMS, acidified, follow-up formula, Nan Pelargon 2 powder",3.5,492,2064,2.37,14.8,22.8,,,,,57.0,57.0,,,0.0,,2.4,600,7.2,50,400,692,225,5.90,0.40,50,,,,500,0.90,1.50,4.2,0.600,125,1.5,5.70,18.0,60,9.00,9.38,,
MW07_0040,Baby foods,ZA,"BMS, casein-predominant formula, Lactogen 1 powder",3.0,513,2147,1.86,11.6,26.5,,,,,57.0,57.0,,,0.0,,1.9,485,5.4,46,275,565,180,5.40,0.40,108,,,,600,0.60,1.00,4.3,0.400,68,1.0,4.10,18.0,90,7.00,8.04,,
MW07_0041,Baby foods,ZA,"BMS, casein-predominant formula, Lactogen 1, reconstituted/100mL",86.7,66,274,0.24,1.5,3.5,,,,,7.0,7.0,,,0.0,,0.3,63,0.7,6,36,74,23,0.70,0.05,14,,,,78,0.10,0.10,0.6,0.050,9,0.1,0.50,2.0,12,1.00,1.34,,
MW07_0042,Baby foods,ZA,"BMS, follow-up formula Lactogen 2, reconstituted/100mL",84.8,67,281,0.32,2.0,3.0,,,,,8.0,8.0,,,0.0,,0.3,82,1.0,6,56,89,25,0.80,0.05,5,,,,73,0.10,0.20,0.6,0.100,12,0.1,1.00,3.0,8,1.00,1.34,,
MW07_0043,Baby foods,ZA,"BMS, follow-up formula, Infacare Classic 2 powder",3.0,457,1922,2.67,16.7,16.7,8.00,4.00,3.60,3,60.0,60.0,,,0.0,,2.6,583,6.3,51,438,722,240,4.20,0.33,31,,,,531,0.69,1.09,2.9,0.397,57,1.4,1.99,14.0,64,7.60,5.10,,
MW07_0044,Baby foods,ZA,"BMS, follow-up formula, Infacare Classic 2, reconstituted/100mL",88.0,67,283,0.38,2.4,2.4,1.10,0.60,0.50,0,9.0,9.0,,,0.0,,0.5,84,0.9,7,63,104,35,0.60,0.05,4,,,,77,0.10,0.16,0.4,0.057,8,0.2,0.29,2.0,9,1.10,0.70,,
MW07_0045,Baby foods,ZA,"BMS, follow-up formula, Infacare Classic 3 powder",3.0,458,1927,2.69,16.8,16.8,8.10,4.10,3.70,3,60.0,60.0,,,0.0,,2.6,583,6.3,52,438,722,239,4.20,0.33,31,,,,531,0.69,1.09,2.9,0.397,57,1.4,1.99,14.0,64,7.60,5.30,,
MW07_0046,Baby foods,ZA,"BMS, follow-up formula, Infacare Classic 3, reconstituted/100mL",82.0,88,368,0.51,3.2,3.2,1.55,0.75,0.70,1,11.5,11.5,,,0.0,,0.7,111,1.2,10,83,137,46,0.80,0.06,6,,,,101,0.13,0.21,0.6,0.076,11,0.3,0.38,2.5,12,1.45,1.00,,
MW07_0047,Baby foods,ZA,"BMS, follow-up formula, Lactogen 2 powder",3.0,486,2039,2.35,14.7,21.7,,,,,58.0,58.0,,,0.0,,2.3,595,7.3,40,405,650,180,5.50,0.40,39,,,,530,1.00,1.40,4.5,0.600,90,1.0,7.00,19.0,58,9.00,8.71,,
MW07_0048,Baby foods,ZA,"BMS, follow-up formula, Lactogen 3, powder",2.0,486,2039,2.35,14.7,21.7,,,,,58.0,58.0,,,0.0,,3.7,560,7.3,40,370,580,180,5.50,0.40,39,,,,530,1.00,1.40,4.5,0.600,90,1.0,7.00,19.0,58,9.00,8.71,,
MW07_0049,Baby foods,ZA,"BMS, follow-up formula, Lactogen 3, reconstituted/100mL",88.0,67,281,0.32,2.0,3.0,,,,,8.0,8.0,,,0.0,,0.5,77,1.0,6,51,80,25,0.80,0.10,5,,,,73,0.14,0.20,0.6,0.100,12,0.1,1.00,3.0,8,1.20,1.34,,
MW07_0050,Baby foods,ZA,"BMS, follow-up formula, Nan 2 powder",3.0,490,2053,2.36,14.7,23.0,,,,,56.0,56.0,,,0.0,,3.0,580,7.3,45,380,650,190,5.40,0.40,60,,,,580,1.10,1.20,4.4,0.600,127,2.0,5.20,19.0,65,9.00,10.72,,
MW07_0051,Baby foods,ZA,"BMS, follow-up formula, Nan 2, reconstituted/100mL",90.4,68,285,0.32,2.0,3.1,,,,,8.0,8.0,,,0.0,,0.4,79,1.0,6,52,89,26,0.70,0.05,10,,,,79,0.20,0.20,0.6,0.100,17,0.2,0.70,3.0,9,1.20,1.34,,
MW07_0052,Baby foods,ZA,"BMS, follow-up formula, Nan 3 powder",3.0,485,2036,2.34,14.6,21.2,,,,,59.0,59.0,,,0.0,,3.3,575,7.3,45,390,625,205,5.90,0.40,40,,,,530,0.90,1.40,4.5,0.400,106,1.0,5.90,19.0,62,8.00,9.38,,
MW07_0053,Baby foods,ZA,"BMS, follow-up formula, Nan 3, reconstituted/100mL",90.4,67,279,0.32,2.0,3.0,,,,,8.0,8.0,,,0.0,,0.5,79,1.0,6,54,86,28,0.80,0.10,6,,,,73,0.10,0.20,0.6,0.100,15,0.1,0.80,3.0,9,1.00,1.34,,
MW07_0054,Baby foods,ZA,"BMS, follow-up formula, S-26 Progress 3 powder",2.0,452,1901,2.30,14.4,14.9,3.10,5.90,5.00,1,65.0,65.0,,,0.0,,2.4,451,5.6,45,360,811,212,4.50,0.41,586,,,,338,0.41,0.72,5.2,0.450,23,0.9,1.35,9.0,54,6.00,3.90,,
MW07_0055,Baby foods,ZA,"BMS, follow-up formula, S-26 Progress 3, reconstituted/100mL",80.0,101,423,0.51,3.2,3.3,0.65,1.60,1.10,0,14.5,14.5,,,0.0,,0.5,100,1.5,10,80,180,47,1.00,0.09,130,,,,75,0.09,0.16,1.3,0.100,5,0.2,0.30,2.00,12,1.50,0.85,,
MW07_0056,Baby foods,ZA,"BMS, follow-up formula, S-26 Progress Gold 3 powder",2.0,452,1901,2.37,14.8,17.0,3.70,6.70,5.70,2,60.0,60.0,,,0.0,,2.8,517,6.8,46,347,1136,256,2.80,0.21,682,,,,401,0.35,0.57,3.4,0.284,85,1.2,2.29,9.00,57,10.00,3.40,,
MW07_0057,Baby foods,ZA,"BMS, follow-up formula, S-26 Progress Gold 3, reconstituted/100mL",83.3,77,325,0.41,2.6,3.0,0.63,1.21,1.00,0,10.0,10.0,,,0.0,,0.6,91,1.2,8,61,200,45,0.50,0.04,120,,,,70,0.06,0.10,0.6,0.050,15,0.4,0.40,1.7,10,1.67,0.42,,
MW07_0058,Baby foods,ZA,"BMS, follow-up formula, S-26 Promil 2 powder",2.0,471,1976,2.51,15.7,20.0,8.80,5.70,4.30,2,57.0,57.0,,,0.0,,2.3,821,8.6,61,464,714,250,3.60,0.29,71.40,,,,536,0.71,1.07,2.9,0.429,57,1.4,2.50,14.0,64,8.00,1.00,,
MW07_0059,Baby foods,ZA,"BMS, follow-up formula, S-26 Promil 2, reconstituted/100mL",90.0,66,277,0.35,2.2,2.8,1.20,0.80,0.60,0,8.0,8.0,,,0.0,,0.4,115,1.2,9,65,100,35,0.50,0.04,10,,,,75,0.10,0.15,0.4,0.060,8,0.2,0.35,2.0,9,1.06,0.74,,
MW07_0060,Baby foods,ZA,"BMS, follow-up formula, S-26 Promil Gold 2 powder",2.0,478,2003,2.51,15.7,22.1,9.70,6.30,4.80,0,54.0,54.0,,,0.0,,2.5,559,8.8,63,375,662,246,3.10,0.22,257,,,,434,0.38,1.03,2.9,0.294,59,1.3,2.57,10.0,63,10.00,4.90,,
